"STAND","StrainAlias","FINAL1011order","Clade","Ploidy","Ty1_ratio_over_ploidy","Ty2_ratio_over_ploidy","Ty3_ratio_over_ploidy","Ty4_ratio_over_ploidy","Ty5_ratio_over_ploidy","Total_ratio_over_ploidy","Ty1_count","Ty2_count","Ty3_count","Ty4_count","Ty5_count","Total_count","Sporulation in water","Asci at 24h","Dyads at 24h","Asci at 72h","Dyads at 72h","CLS in water (day 8)","CLS in water (day 20)","CLS in SDC (day 7)","CLS in SDC (day 21)","CLS in SDC (day 35)","CLS in crSDC (day 7)","CLS in crSDC (day 21)","CLS in crSDC (day 35)"
"BQE",NA,14,"01.Wine_European",2,0.02,9.33,0,0,2.23,11.58,0.04,18.66,0,0,4.46,23.16,"0","28","3.5714285710000002","66","19.6969697","76.5","61.5","97.265431199999995","67.886841500000003","32.401525229999997","97.408128840000003","78.344246999999996","49.136976019999999"
"AIN",NA,15,"01.Wine_European",2,0,8.1,0,0,2.03,10.13,0,16.2,0,0,4.06,20.26,"0","0","NA","0","NA","69.099999999999994","57.5","83.097142669999997","30.07340627","11.45592282","96.361954449999999","65.512828580000004","47.376708209999997"
"BQR",NA,16,"01.Wine_European",2,0.01,11.45,0,0,2.56,14.02,0.02,22.9,0,0,5.12,28.04,"0","24","0","61","27.868852459999999","57.2","45","89.186373500000002","32.931920320000003","6.2238744400000003","97.317477780000004","67.919995409999999","45.211772170000003"
"BLT",NA,17,"01.Wine_European",2,0.01,9.92,0,0,2.83,12.76,0.02,19.84,0,0,5.66,25.52,"0","38","2.6315789469999999","70","22.85714286","57.8","36.9","110.7380079","46.068024909999998","10.09840887","93.468126690000005","61.011032159999999","46.029192199999997"
"AIF",NA,18,"01.Wine_European",2,0.02,13.3,0,0,0.81,14.13,0.04,26.6,0,0,1.62,28.26,"0","39","100","71","100","44.6","28.9","67.027333279999993","6.826853313","10.98280604","94.434321060000002","78.402914170000003","59.563641779999998"
"AQR",NA,19,"01.Wine_European",2,0.02,13.07,0,0,1.13,14.22,0.04,26.14,0,0,2.26,28.44,"0","55","100","82","100","48","27.5","34.980368769999998","4.2113100479999996","2.3568675940000001","95.021737119999997","65.972590920000002","31.297987800000001"
"BPF",NA,20,"01.Wine_European",2,0.01,21.15,0.03,0,2.01,23.2,0.02,42.3,0.06,0,4.02,46.4,"0","54","100","64","100","46.3","27.7","88.634841399999999","36.911217379999997","10.109450450000001","97.298736439999999","67.099623980000004","49.462016300000002"
"BLR",NA,21,"01.Wine_European",2,0.01,14.04,0,0,2.1,16.15,0.02,28.08,0,0,4.2,32.3,"0","36","100","64","100","42.5","23.6","46.536037010000001","13.1624915","15.812619339999999","88.500796440000002","45.798569639999997","41.342859650000001"
"BNL",NA,22,"01.Wine_European",2,0.01,13.37,0,0,2.23,15.61,0.02,26.74,0,0,4.46,31.22,"0","55","100","78","100","65.900000000000006","50.5","87.506388560000005","52.137629410000002","32.634178419999998","96.406281849999999","70.032782440000005","54.824982310000003"
"BPK",NA,23,"01.Wine_European",2,0.02,16.28,0,0,2.27,18.57,0.04,32.56,0,0,4.54,37.14,"0","49","100","79","100","54.7","30.6","61.592533099999997","11.42583486","9.4020287850000006","87.509746079999999","35.753501069999999","33.599574250000003"
"BKQ",NA,24,"01.Wine_European",2,0.01,6.86,0.99,0,2.17,10.03,0.02,13.72,1.98,0,4.34,20.06,"0","0","NA","0","NA","67.2","29.6","81.675876869999996","31.246179699999999","19.255165009999999","95.43050977","32.85707566","31.40083662"
"BPG",NA,25,"01.Wine_European",2,0.01,7.6,0,0,2.64,10.25,0.02,15.2,0,0,5.28,20.5,"0","0","NA","0","NA","66.099999999999994","38.799999999999997","54.102198610000002","11.47014355","12.06331471","69.101998140000006","25.779298709999999","25.012601879999998"
